#{"t_start": 1685717185.387958, "env_id": null}
r,l,t
-23.4,2957,8354.192593
-16.9,4038,8413.882428
-23.8,3687,8431.486749
-24.8,3856,8452.317157
-5.4,3785,8470.312375
-19.9,2980,8528.769608
-12.2,3972,8547.84594
-15.0,3911,8567.049462
-9.7,2961,8581.494116
-11.4,3292,8641.678288
-23.9,4247,8664.179381
-25.4,3567,8681.421234
-24.1,3920,8700.601982
-13.3,3226,8766.729419
-26.3,4215,8789.705274
-24.7,4694,8816.19955
-10.4,3097,8882.153154
-16.4,3997,8905.160429
-23.3,4307,8928.181915
-23.4,3251,8944.142968
-15.2,3092,9001.836944
-23.4,4872,9026.040551
-22.5,3857,9045.235319
-23.8,3756,9101.773537
-19.8,3855,9119.94438
-17.7,3560,9136.389024
-18.1,3524,9152.605595
-23.5,2897,9204.579265
-19.6,3053,9218.87386
-20.9,3926,9237.006547
-18.1,4000,9255.670821
-27.5,4199,9313.650008
-18.1,3081,9328.719918
-19.0,5113,9350.978256
-16.5,4012,9398.567912
-23.4,4364,9411.660719
-24.4,3407,9422.391701
-23.5,3919,9436.332333
-24.6,3391,9479.642612
-24.9,3594,9490.165031
-18.6,3758,9501.534239
-26.6,4012,9551.773303
-25.9,3558,9569.08224
-22.1,5468,9595.708282
-25.4,3649,9613.780379
-26.9,3490,9670.240737
-15.3,3395,9687.508872
-21.9,3135,9703.580567
-24.8,3343,9720.957225
-24.4,4479,9782.20925
-16.6,3109,9797.5741
-24.8,3321,9813.946816
-20.1,4216,9870.119896
-18.0,3677,9887.610543
-23.8,3164,9902.728262
-25.8,4227,9922.749463
-23.2,3708,9976.268984
-17.3,4227,9996.382801
-23.4,3330,10012.181341
-34.3,4561,10071.798245
-20.9,3299,10089.717713
-24.9,3314,10107.007659
-23.4,3119,10122.718785
-10.7,3167,10138.160809
-17.6,4539,10195.343814
-24.1,3485,10211.721573
-22.3,3988,10230.522826
-24.0,3494,10282.715013
-28.9,4033,10302.05135
-14.0,4176,10321.943441
-19.7,3703,10339.570713
-14.8,3657,10392.442696
-23.2,3694,10409.555474
-27.7,3836,10426.960756
-19.2,3865,10478.937295
-17.9,3476,10495.031217
-28.7,4177,10514.207359
-22.4,3043,10528.089626
-20.5,3767,10579.80386
-24.0,4717,10601.091435
-19.3,4143,10619.780205
-19.6,3252,10668.780486
-23.9,3474,10684.913844
-24.1,3639,10701.663981
-20.7,3325,10718.006697
-28.0,3996,10778.318268
-20.8,4270,10798.930533
-25.8,4161,10818.699566
-35.3,4936,10885.664246
-17.4,3804,10904.844411
-17.2,4469,10927.339838
-21.8,4725,10989.67877
-18.5,5051,11015.175838
-16.8,3295,11033.103412
-35.3,3943,11053.822492
-11.6,2893,11108.763271
-22.3,2908,11122.532736
-19.9,3969,11141.580631
-26.3,3956,11161.093699
-14.5,3212,11219.938709
-17.1,3268,11236.729532
-35.9,4465,11259.322064
-29.6,3728,11277.787965
-25.9,3187,11328.631277
-19.7,3347,11344.193707
-12.1,3320,11359.629696
-15.1,2805,11372.473081
-28.3,3299,11423.216844
-15.1,3945,11443.217089
-13.6,3783,11462.505958
-27.8,3410,11480.257283
-18.4,4106,11542.362535
-20.4,3560,11561.1447
-16.4,3000,11575.714928
-23.9,3673,11628.396475
-21.0,3749,11645.902185
-24.8,3249,11660.969341
-21.9,3172,11675.609632
-14.6,3923,11732.135326
-19.2,3934,11750.321369
-27.8,4184,11769.374615
-18.3,3731,11786.440496
-22.7,3727,11841.797819
-27.7,4051,11860.635747
-26.1,4193,11879.600274
-32.8,3863,11933.8214
-17.8,3390,11949.50253
-18.5,4408,11969.85017
-17.9,3527,11986.035527
-24.9,4304,12041.640543
-27.3,3991,12060.124967
-36.3,5136,12083.609977
-20.5,3898,12137.222049
-24.3,4293,12157.096374
-27.4,3787,12174.388008
-27.8,3932,12228.151159
-18.8,3355,12243.768965
-17.7,3558,12261.366024
-10.3,4175,12282.247933
-25.3,3875,12340.86852
-17.9,3543,12357.051362
-24.4,3893,12375.141885
-18.7,3566,12391.945122
-22.6,3697,12444.979461
-9.0,2948,12458.898942
-25.8,3590,12475.576537
-19.6,3555,12492.153165
-33.1,4488,12552.061007
-15.2,3906,12571.117753
-29.7,3949,12590.144464
-27.8,3840,12645.534639
-11.9,3040,12660.343783
-21.6,3105,12675.276599
-18.5,3225,12690.776387
-18.8,4240,12749.501769
-22.9,3855,12768.078194
-25.9,4393,12789.640575
-18.8,3926,12844.67393
-14.4,3318,12860.743758
-23.0,3902,12879.022267
-23.4,2931,12892.232347
-19.7,3241,12944.060627
-19.2,3427,12961.356324
-17.9,4036,12979.841807
-14.4,3343,12995.779691
-10.0,2866,13042.10431
-21.5,3697,13058.48256
-19.7,3468,13074.535604
-22.0,3715,13091.220358
-23.9,3650,13144.458917
-15.9,3673,13161.239974
-20.9,3581,13177.171734
-24.1,3927,13194.500517
-22.5,4145,13249.38275
-16.4,3358,13264.39341
-26.2,4370,13283.877665
-15.1,3865,13340.827991
-24.9,4634,13363.99001
-17.0,3554,13381.956587
-21.7,4015,13401.735259
-22.0,3249,13456.736512
-28.4,3523,13474.734988
-27.1,3831,13493.421215
-22.9,3291,13509.177791
-17.2,3422,13565.074124
-25.8,3520,13581.498018
-21.5,4244,13600.721697
-19.9,3376,13652.367425
-13.2,3672,13669.06789
-31.6,4383,13689.099998
-18.1,3380,13704.599149
-23.9,3045,13755.32489
